"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"PLP1","PLP1",0,3.45703192138595,0.986,0.212,0,"0"
"CTNNA3","CTNNA3",0,3.19811993972571,0.998,0.296,0,"0"
"ST18","ST18",0,3.03842841452822,0.985,0.167,0,"0"
"AL359091.1","AL359091.1",0,2.82241016397638,0.828,0.112,0,"0"
"TMEM144","TMEM144",0,2.78038723345684,0.943,0.151,0,"0"
"CERCAM","CERCAM",0,2.76067524800037,0.921,0.167,0,"0"
"MBP","MBP",0,2.71735021571598,0.985,0.394,0,"0"
"TF","TF",0,2.71495251078477,0.874,0.138,0,"0"
"AC026316.5","AC026316.5",0,2.69099532238055,0.885,0.126,0,"0"
"PIP4K2A","PIP4K2A",0,2.63819935975505,0.993,0.411,0,"0"
"KCNH8","KCNH8",0,2.61653575103252,0.909,0.147,0,"0"
"RNF220","RNF220",0,2.58979675383026,0.96,0.271,0,"0"
"PDE1C","PDE1C",0,2.50893697446183,0.966,0.331,0,"0"
"ENPP2","ENPP2",0,2.50801781720303,0.852,0.09,0,"0"
"MOBP","MOBP",0,2.50468641422142,0.816,0.113,0,"0"
"SLC44A1","SLC44A1",0,2.49604601713376,0.991,0.508,0,"0"
"HHIP","HHIP",0,2.49107965782698,0.761,0.075,0,"0"
"PALM2","PALM2",0,2.48520235180302,0.767,0.131,0,"0"
"QDPR","QDPR",0,2.46703850973822,0.878,0.247,0,"0"
"SCD","SCD",0,2.45141009338738,0.722,0.094,0,"0"
"TMEM165","TMEM165",0,2.44219782774484,0.934,0.311,0,"0"
"PDE4B","PDE4B",0,2.43499503071668,0.994,0.526,0,"0"
"CNP","CNP",0,2.43210489030307,0.809,0.14,0,"0"
"LINC01608","LINC01608",0,2.42153178401214,0.709,0.066,0,"0"
"CREB5","CREB5",0,2.40863297234072,0.903,0.187,0,"0"
"MAN2A1","MAN2A1",0,2.39830127159258,0.95,0.449,0,"0"
"EDIL3","EDIL3",0,2.35301440050081,0.986,0.491,0,"0"
"CLDND1","CLDND1",0,2.33643856215503,0.831,0.199,0,"0"
"NCKAP5","NCKAP5",0,2.28926102944355,0.951,0.315,0,"0"
"PLCL1","PLCL1",0,2.27572446745143,0.967,0.483,0,"0"
"C10orf90","C10orf90",0,2.26882649256733,0.838,0.135,0,"0"
"SLCO1A2","SLCO1A2",0,2.26506774170552,0.754,0.073,0,"0"
"CNTN2","CNTN2",0,2.26407590466133,0.822,0.156,0,"0"
"UGT8","UGT8",0,2.22126168217708,0.758,0.086,0,"0"
"PLEKHH1","PLEKHH1",0,2.21214774021552,0.789,0.123,0,"0"
"PHLPP1","PHLPP1",0,2.21194140654302,0.945,0.42,0,"0"
"FRMD4B","FRMD4B",0,2.21059128787697,0.898,0.194,0,"0"
"TMTC2","TMTC2",0,2.20141040111431,0.949,0.376,0,"0"
"LAMP2","LAMP2",0,2.19830033558406,0.839,0.234,0,"0"
"PRUNE2","PRUNE2",0,2.19775634051481,0.9,0.346,0,"0"
"MOG","MOG",0,2.19223461478389,0.689,0.059,0,"0"
"COL4A5","COL4A5",0,2.17443397856203,0.749,0.09,0,"0"
"SHTN1","SHTN1",0,2.17079391060432,0.968,0.441,0,"0"
"CLMN","CLMN",0,2.16131476293173,0.815,0.142,0,"0"
"FAM107B","FAM107B",0,2.16049349692423,0.728,0.091,0,"0"
"DOCK5","DOCK5",0,2.14783423378618,0.885,0.197,0,"0"
"BCAS1","BCAS1",0,2.14698166923661,0.799,0.126,0,"0"
"LINC00639","LINC00639",0,2.14309179528438,0.672,0.065,0,"0"
"TTLL7","TTLL7",0,2.13143690155208,0.963,0.523,0,"0"
"LPAR1","LPAR1",0,2.12776408917595,0.699,0.082,0,"0"
"HDAC2-AS2","HDAC2-AS2",0,2.12732416892702,0.701,0.184,0,"0"
"MYRF","MYRF",0,2.12068920561666,0.721,0.078,0,"0"
"SLC24A2","SLC24A2",0,2.09059117900217,0.988,0.575,0,"0"
"AMER2","AMER2",0,2.07542971590496,0.779,0.192,0,"0"
"DOCK10","DOCK10",0,2.03789705297189,0.959,0.349,0,"0"
"MAG","MAG",0,2.0341148373387,0.607,0.047,0,"0"
"SHROOM4","SHROOM4",0,2.02293439930605,0.678,0.095,0,"0"
"PXK","PXK",0,2.02287892332821,0.802,0.226,0,"0"
"CARNS1","CARNS1",0,2.01934225973013,0.642,0.073,0,"0"
"IL1RAPL1","IL1RAPL1",0,2.0060264224923,0.999,0.739,0,"0"
"ERBIN","ERBIN",0,2.00491081568671,0.963,0.5,0,"0"
"AC012593.1","AC012593.1",0,1.99389162316352,0.513,0.093,0,"0"
"PCSK6","PCSK6",0,1.98483920614346,0.612,0.1,0,"0"
"QKI","QKI",0,1.97782065036013,0.998,0.687,0,"0"
"GPM6B","GPM6B",0,1.97035919788038,0.972,0.617,0,"0"
"FRYL","FRYL",0,1.96059411401462,0.943,0.518,0,"0"
"SIK3","SIK3",0,1.95548687878242,0.978,0.662,0,"0"
"FRMD5","FRMD5",0,1.94804104644298,0.979,0.575,0,"0"
"SGK1","SGK1",0,1.94647052122622,0.875,0.332,0,"0"
"ABCA2","ABCA2",0,1.93741100660359,0.877,0.303,0,"0"
"PLD1","PLD1",0,1.93637529420231,0.666,0.105,0,"0"
"SLAIN1","SLAIN1",0,1.93588307116308,0.851,0.366,0,"0"
"HAPLN2","HAPLN2",0,1.92918805844201,0.677,0.125,0,"0"
"LINC00320","LINC00320",0,1.91478551136675,0.616,0.102,0,"0"
"GRM3","GRM3",0,1.90952478741303,0.856,0.319,0,"0"
"ELMO1","ELMO1",0,1.90950166226952,0.979,0.503,0,"0"
"ABCA8","ABCA8",0,1.90847792434892,0.583,0.054,0,"0"
"PDE8A","PDE8A",0,1.90415029913119,0.827,0.29,0,"0"
"CNDP1","CNDP1",0,1.89907395634763,0.544,0.049,0,"0"
"ANLN","ANLN",0,1.89088284887698,0.613,0.067,0,"0"
"FA2H","FA2H",0,1.89076547326986,0.594,0.056,0,"0"
"SLC5A11","SLC5A11",0,1.88912198875946,0.428,0.041,0,"0"
"DAAM2","DAAM2",0,1.85952412868265,0.686,0.108,0,"0"
"KLHL32","KLHL32",0,1.85258205218529,0.812,0.409,0,"0"
"ARAP2","ARAP2",0,1.84933240485189,0.948,0.521,0,"0"
"AATK","AATK",0,1.83907512210184,0.749,0.25,0,"0"
"PHLDB1","PHLDB1",0,1.83327759511193,0.745,0.17,0,"0"
"MAP7","MAP7",0,1.8286399429117,0.965,0.567,0,"0"
"NKX6-2","NKX6-2",0,1.82565145464793,0.552,0.045,0,"0"
"ZNF536","ZNF536",0,1.82469939349203,0.857,0.228,0,"0"
"KIF6","KIF6",0,1.82468962520261,0.562,0.081,0,"0"
"FOLH1","FOLH1",0,1.82056993266522,0.526,0.041,0,"0"
"CRYAB","CRYAB",0,1.81349564739445,0.609,0.086,0,"0"
"PIEZO2","PIEZO2",0,1.80864178306402,0.523,0.061,0,"0"
"CDH19","CDH19",0,1.79051004970143,0.53,0.051,0,"0"
"FUT8","FUT8",0,1.78799057362094,0.861,0.457,0,"0"
"UNC5C","UNC5C",0,1.78579435553236,0.939,0.589,0,"0"
"LINC01170","LINC01170",0,1.77848328116928,0.409,0.061,0,"0"
"SELENOP","SELENOP",0,1.77547238875484,0.567,0.073,0,"0"
"DNAJC6","DNAJC6",0,1.75706637817096,0.863,0.482,0,"0"
"OPALIN","OPALIN",0,1.74895321821133,0.475,0.035,0,"0"
"SPOCK3","SPOCK3",0,1.73427114877365,0.944,0.454,0,"0"
"CDK18","CDK18",0,1.71917220020245,0.624,0.117,0,"0"
"LPGAT1","LPGAT1",0,1.71493823633377,0.708,0.296,0,"0"
"SEPT7","SEPT7",0,1.71266715233552,0.929,0.569,0,"0"
"ANO4","ANO4",0,1.71148471278341,0.785,0.352,0,"0"
"VRK2","VRK2",0,1.71022722121433,0.506,0.078,0,"0"
"PEX5L","PEX5L",0,1.70314408095746,0.972,0.59,0,"0"
"APLP1","APLP1",0,1.70121297980975,0.767,0.305,0,"0"
"SH3TC2","SH3TC2",0,1.69394617069382,0.505,0.042,0,"0"
"CSRP1","CSRP1",0,1.68984695181671,0.678,0.168,0,"0"
"POLR2F","POLR2F",0,1.68835748560154,0.545,0.116,0,"0"
"GPRC5B","GPRC5B",0,1.68641613581807,0.734,0.195,0,"0"
"LRP2","LRP2",0,1.6853722472842,0.442,0.04,0,"0"
"LINC00609","LINC00609",0,1.67900182543062,0.522,0.095,0,"0"
"SUN2","SUN2",0,1.67835874111688,0.703,0.222,0,"0"
"PLLP","PLLP",0,1.67155662694356,0.575,0.091,0,"0"
"PPP2R2B","PPP2R2B",0,1.66745675641722,0.983,0.758,0,"0"
"GPR37","GPR37",0,1.66399921526892,0.498,0.044,0,"0"
"LINC01630","LINC01630",0,1.65604069701971,0.477,0.082,0,"0"
"CDK19","CDK19",0,1.65033007342835,0.798,0.389,0,"0"
"TRIM2","TRIM2",0,1.61900544926953,0.902,0.533,0,"0"
"RFTN2","RFTN2",0,1.61856009516848,0.645,0.148,0,"0"
"SEPT4","SEPT4",0,1.60536136269748,0.588,0.143,0,"0"
"DNM3","DNM3",0,1.60308702339132,0.975,0.683,0,"0"
"DYSF","DYSF",0,1.60303909472762,0.483,0.1,0,"0"
"SLCO3A1","SLCO3A1",0,1.60192379124958,0.77,0.356,0,"0"
"SYNJ2","SYNJ2",0,1.60112782501466,0.601,0.188,0,"0"
"NDRG1","NDRG1",0,1.60073972664971,0.602,0.142,0,"0"
"MAL","MAL",0,1.59668285635765,0.482,0.05,0,"0"
"ASPA","ASPA",0,1.587316709264,0.461,0.042,0,"0"
"GAB1","GAB1",0,1.58521529835781,0.879,0.465,0,"0"
"MIR181A1HG","MIR181A1HG",0,1.58004343955072,0.67,0.255,0,"0"
"ERMN","ERMN",0,1.57871786573744,0.438,0.028,0,"0"
"FGFR2","FGFR2",0,1.57493623994531,0.62,0.156,0,"0"
"RYBP","RYBP",0,1.57141527581594,0.698,0.27,0,"0"
"ATP10B","ATP10B",0,1.56183260517521,0.586,0.109,0,"0"
"LANCL1","LANCL1",0,1.55699224719865,0.7,0.308,0,"0"
"BOK","BOK",0,1.55276145510745,0.524,0.068,0,"0"
"MEGF10","MEGF10",0,1.54848598178136,0.624,0.146,0,"0"
"SEMA6A","SEMA6A",0,1.54175233627216,0.638,0.199,0,"0"
"GNAI1","GNAI1",0,1.54134589921729,0.656,0.268,0,"0"
"TTYH2","TTYH2",0,1.54119563081375,0.509,0.069,0,"0"
"DPYD","DPYD",0,1.53402323661824,0.908,0.502,0,"0"
"USP54","USP54",0,1.52927397046429,0.735,0.279,0,"0"
"DIP2B","DIP2B",0,1.52157162207311,0.84,0.458,0,"0"
"SPOCK1","SPOCK1",0,1.52145581197423,0.922,0.563,0,"0"
"SEMA3B","SEMA3B",0,1.51999265982872,0.524,0.08,0,"0"
"HIPK2","HIPK2",0,1.51201814726393,0.727,0.261,0,"0"
"ATG4C","ATG4C",0,1.50169616881298,0.615,0.219,0,"0"
"EFHD1","EFHD1",0,1.50115996703272,0.513,0.089,0,"0"
"ARHGAP21","ARHGAP21",0,1.49498395486937,0.885,0.551,0,"0"
"TCF12","TCF12",0,1.49378963614134,0.939,0.613,0,"0"
"ALCAM","ALCAM",0,1.49307650038863,0.838,0.429,0,"0"
"SH3GL3","SH3GL3",0,1.4930445885368,0.765,0.425,0,"0"
"JAM3","JAM3",0,1.49226854807679,0.653,0.262,0,"0"
"MTUS1","MTUS1",0,1.48941002384982,0.723,0.248,0,"0"
"ZEB2","ZEB2",0,1.48469090533956,0.952,0.661,0,"0"
"DOCK1","DOCK1",0,1.4760240133924,0.717,0.203,0,"0"
"DLG1","DLG1",0,1.47195433366524,0.873,0.539,0,"0"
"AC006059.1","AC006059.1",0,1.46607268085723,0.478,0.119,0,"0"
"AC009063.2","AC009063.2",0,1.45767023302324,0.404,0.036,0,"0"
"NCAM2","NCAM2",0,1.44918078926663,0.985,0.748,0,"0"
"CD22","CD22",0,1.4483038088253,0.439,0.039,0,"0"
"PSEN1","PSEN1",0,1.44101780119551,0.609,0.223,0,"0"
"PLA2G16","PLA2G16",0,1.43180659249013,0.498,0.093,0,"0"
"ITGA2","ITGA2",0,1.42173826105058,0.371,0.038,0,"0"
"PTBP2","PTBP2",0,1.41916167248971,0.783,0.442,0,"0"
"HIP1","HIP1",0,1.41212336939036,0.633,0.166,0,"0"
"RHOU","RHOU",0,1.40780043743333,0.435,0.066,0,"0"
"BIN1","BIN1",0,1.40415435559054,0.808,0.418,0,"0"
"PRR5L","PRR5L",0,1.40396876813692,0.403,0.048,0,"0"
"AL354809.1","AL354809.1",0,1.40161479417186,0.319,0.047,0,"0"
"ADIPOR2","ADIPOR2",0,1.39881772634672,0.67,0.209,0,"0"
"PPP1R14A","PPP1R14A",0,1.3828137059284,0.419,0.06,0,"0"
"LDB3","LDB3",0,1.37888418342475,0.363,0.032,0,"0"
"APBB2","APBB2",0,1.37506250616782,0.825,0.437,0,"0"
"AC090502.1","AC090502.1",0,1.37356079319951,0.295,0.024,0,"0"
"MAP4K4","MAP4K4",0,1.36565816688735,0.879,0.552,0,"0"
"LRRC1","LRRC1",0,1.35337043280615,0.505,0.143,0,"0"
"AGAP1","AGAP1",0,1.34966113854348,0.948,0.619,0,"0"
"CD55","CD55",0,1.33089176987337,0.41,0.09,0,"0"
"TMEM98","TMEM98",0,1.32488705223868,0.334,0.029,0,"0"
"ZCCHC24","ZCCHC24",0,1.31681454325132,0.545,0.135,0,"0"
"SCD5","SCD5",0,1.31665110028725,0.812,0.413,0,"0"
"FBXL7","FBXL7",0,1.31494145729588,0.807,0.296,0,"0"
"CLASP2","CLASP2",0,1.29497316131238,0.948,0.678,0,"0"
"MARCH1","MARCH1",0,1.28958710963195,0.929,0.56,0,"0"
"PCDH9","PCDH9",0,1.28267011988475,1,0.894,0,"0"
"ATP8A1","ATP8A1",0,1.25891650264627,0.888,0.574,0,"0"
"FMNL2","FMNL2",0,1.24883407048148,0.937,0.704,0,"0"
"ANK3","ANK3",0,1.24241917881816,0.964,0.676,0,"0"
"LINC00844","LINC00844",0,1.22998752410294,0.339,0.033,0,"0"
"OLIG1","OLIG1",0,1.20313283855633,0.469,0.095,0,"0"
"HEPACAM","HEPACAM",0,1.19991547686341,0.567,0.15,0,"0"
"LRRC63","LRRC63",0,1.19401326026083,0.292,0.028,0,"0"
"NCAM1","NCAM1",0,1.19230604460045,0.957,0.695,0,"0"
"AC016597.1","AC016597.1",0,1.16370023841895,0.296,0.021,0,"0"
"APOD","APOD",0,1.15603628233219,0.447,0.101,0,"0"
"SPP1","SPP1",0,1.1372466677786,0.627,0.13,0,"0"
"PRR18","PRR18",0,1.13616888867336,0.311,0.025,0,"0"
"TMEM235","TMEM235",0,1.13295571026571,0.308,0.027,0,"0"
"RNASE1","RNASE1",0,1.12705430227976,0.34,0.046,0,"0"
"ZBTB20","ZBTB20",0,1.12397100599579,0.98,0.636,0,"0"
"TP53TG5","TP53TG5",0,1.12263467108179,0.312,0.037,0,"0"
"NINJ2","NINJ2",0,1.09844118483312,0.265,0.024,0,"0"
"PLEKHG3","PLEKHG3",0,1.02282499175841,0.317,0.046,0,"0"
"COLGALT2","COLGALT2",1.81589395444515e-306,1.4229601525019,0.614,0.246,4.55880177263456e-302,"0"
"SOX10","SOX10",1.27628894629784e-303,1.09130779985557,0.307,0.044,3.20412339968072e-299,"0"
"RASGRP3","RASGRP3",2.26356225807705e-303,1.07245828873799,0.312,0.045,5.68267304890242e-299,"0"
"RGCC","RGCC",5.88868751725947e-302,1.14808525089285,0.398,0.081,1.47835500120799e-297,"0"
"CLIC4","CLIC4",3.43405851636134e-301,1.20560824246415,0.475,0.121,8.62120390532513e-297,"0"
"MARCKSL1","MARCKSL1",2.67305467150152e-300,1.42871584878691,0.497,0.148,6.71070375280457e-296,"0"
"MYO1D","MYO1D",7.54243893316167e-300,1.48650128449391,0.649,0.29,1.89352929417024e-295,"0"
"FAM124A","FAM124A",3.54737890686851e-299,1.3065183572161,0.429,0.106,8.90569474569339e-295,"0"
"FGF1","FGF1",1.8314724485929e-297,1.17872445696161,0.349,0.062,4.59791158219247e-293,"0"
"MOB3B","MOB3B",3.28595438243909e-297,1.43569530628776,0.615,0.245,8.24938847711333e-293,"0"
"SOX8","SOX8",3.49185670712811e-297,1.25365433958256,0.448,0.113,8.76630626324512e-293,"0"
"NFASC","NFASC",3.3184407966672e-295,1.35337869164542,0.696,0.357,8.33094562003301e-291,"0"
"RTKN","RTKN",4.78123164031643e-294,1.06280129798822,0.331,0.055,1.20032820330144e-289,"0"
"CNTNAP4","CNTNAP4",3.71923156987782e-293,1.46280860748733,0.664,0.285,9.33713085617826e-289,"0"
"TJP1","TJP1",4.29215449171948e-293,1.16098189454,0.868,0.614,1.07754538514618e-288,"0"
"CCP110","CCP110",9.70092815449042e-293,1.33572861613432,0.594,0.234,2.43541801318482e-288,"0"
"RTN4","RTN4",3.415006170426e-290,1.11622387322767,0.884,0.63,8.57337299085447e-286,"0"
"TMTC4","TMTC4",1.6473095013463e-285,1.17301885206522,0.37,0.077,4.1355705031299e-281,"0"
"TUBA1A","TUBA1A",1.12376344355627e-275,1.32667572759107,0.508,0.171,2.82120812504803e-271,"0"
"AKAP6","AKAP6",3.97270536544077e-275,1.05093593832661,0.905,0.634,9.97347681993905e-271,"0"
"CPB2-AS1","CPB2-AS1",4.42824147392737e-273,1.34995539579648,0.412,0.107,1.11171002202947e-268,"0"
"MYO1E","MYO1E",6.75845743177687e-272,1.11702256567952,0.454,0.12,1.69671073824758e-267,"0"
"GNAO1","GNAO1",1.14455667053017e-270,1.24738588015241,0.765,0.465,2.87340952136599e-266,"0"
"KIF13B","KIF13B",1.59144915418833e-269,1.36679091470464,0.532,0.192,3.99533310158979e-265,"0"
"ZDHHC9","ZDHHC9",2.50740843079806e-268,1.1322236843929,0.357,0.077,6.29484886551852e-264,"0"
"KIAA1755","KIAA1755",9.745610314268e-268,1.03198326708321,0.354,0.071,2.44663546939698e-263,"0"
"FAM13C","FAM13C",1.39000467029632e-267,1.36520510755516,0.6,0.261,3.4896067247789e-263,"0"
"SEMA4D","SEMA4D",3.16503578359121e-262,1.22522226184166,0.48,0.154,7.94582233470573e-258,"0"
"HS3ST5","HS3ST5",2.03971553741774e-261,1.44455484413416,0.595,0.238,5.12070585668723e-257,"0"
"PREX1","PREX1",5.66784041529963e-261,1.10952533023873,0.543,0.183,1.42291133626097e-256,"0"
"MBNL2","MBNL2",5.08013312456248e-258,1.0461193424332,0.837,0.555,1.27536742092141e-253,"0"
"OTUD7A","OTUD7A",8.15161622121548e-258,1.19869483574893,0.797,0.52,2.04646325233615e-253,"0"
"KIRREL3","KIRREL3",8.34265296466581e-254,1.31409304547554,0.759,0.421,2.09442302677935e-249,"0"
"SORT1","SORT1",1.08772234868833e-252,1.13723575491536,0.748,0.444,2.73072695638205e-248,"0"
"MVB12B","MVB12B",4.31473751441759e-251,1.26586499203519,0.614,0.283,1.08321485299454e-246,"0"
"LIMCH1","LIMCH1",1.35685063145331e-250,1.02470311590599,0.901,0.635,3.40637351026353e-246,"0"
"ARHGAP23","ARHGAP23",2.27075477487085e-250,1.20332133495657,0.401,0.107,5.70072986231327e-246,"0"
"FOXN2","FOXN2",1.97354951378961e-248,1.19022040099337,0.478,0.157,4.95459605436882e-244,"0"
"KCNJ10","KCNJ10",1.58526275831245e-247,1.0322051984243,0.341,0.073,3.9798021547434e-243,"0"
"TMEFF2","TMEFF2",1.88989741492982e-246,1.27989954316587,0.774,0.457,4.7445874601813e-242,"0"
"DOCK9","DOCK9",2.00652845221578e-244,1.04537481776275,0.776,0.467,5.03738967928772e-240,"0"
"DSCAML1","DSCAML1",1.60122551852001e-242,1.26185888435661,0.645,0.316,4.01987666424449e-238,"0"
"EXOC6B","EXOC6B",6.10999722911751e-239,1.02322668014942,0.88,0.659,1.53391480436995e-234,"0"
"PMP22","PMP22",3.24699257908166e-237,1.01470258576131,0.361,0.085,8.1515748697845e-233,"0"
"MAP4K5","MAP4K5",1.94340435559636e-236,1.25587858100498,0.721,0.443,4.87891663472465e-232,"0"
"DIP2C","DIP2C",2.43002934480499e-233,1.06483175058178,0.797,0.552,6.10058867013292e-229,"0"
"ZFHX4","ZFHX4",1.60846147481639e-231,1.07179163139939,0.543,0.198,4.03804253252655e-227,"0"
"PALM2-AKAP2","PALM2-AKAP2",4.42174855241056e-230,1.3010282318782,0.427,0.139,1.11007997408267e-225,"0"
"TJAP1","TJAP1",1.1087090977377e-227,1.0677459849704,0.364,0.094,2.7834141898705e-223,"0"
"FAM126A","FAM126A",1.86793796893427e-227,1.19484208939369,0.369,0.096,4.68945827100948e-223,"0"
"NPC1","NPC1",7.80525804062134e-227,1.09170218591304,0.412,0.123,1.95951003109799e-222,"0"
"LIPA","LIPA",3.38520786596067e-226,1.23893168941922,0.542,0.233,8.49856434749427e-222,"0"
"C9orf3","C9orf3",2.72563219641804e-225,1.15749413863783,0.712,0.443,6.8426996291075e-221,"0"
"WSB1","WSB1",2.90827026805542e-223,1.08047210154746,0.728,0.441,7.30121250795313e-219,"0"
"RBPJ","RBPJ",7.12249948245606e-223,1.16261047038993,0.646,0.343,1.78810349507059e-218,"0"
"SH3D19","SH3D19",7.32515932815663e-222,1.23246428833665,0.639,0.331,1.83898124933372e-217,"0"
"KANK1","KANK1",2.96965687853001e-221,1.1498953193235,0.551,0.21,7.45532359354958e-217,"0"
"C1QTNF3-AMACR","C1QTNF3-AMACR",7.68183962901015e-221,1.30127344731004,0.509,0.205,1.928525838863e-216,"0"
"FAXDC2","FAXDC2",6.46359056126712e-219,1.00376307658458,0.328,0.076,1.62268441040611e-214,"0"
"COBL","COBL",2.82051344659506e-217,1.09689148613175,0.723,0.436,7.0808990076769e-213,"0"
"FAM102A","FAM102A",8.08583330590541e-215,1.07084668464394,0.348,0.092,2.02994845144755e-210,"0"
"NT5DC1","NT5DC1",2.14616614939124e-211,1.33415002307838,0.538,0.245,5.38795011804671e-207,"0"
"IQGAP1","IQGAP1",4.47788038779374e-210,1.15963826188623,0.515,0.212,1.12417187135562e-205,"0"
"SECISBP2L","SECISBP2L",3.18618228239071e-205,1.16369746134499,0.629,0.36,7.99891061994187e-201,"0"
"SLC48A1","SLC48A1",3.68882750088389e-205,1.04336930070835,0.359,0.102,9.26080144096902e-201,"0"
"MEIS1","MEIS1",2.81371893028147e-204,1.05981910413821,0.326,0.082,7.06384137447162e-200,"0"
"GAB2","GAB2",3.88528921594378e-202,1.03138341464967,0.631,0.32,9.75401857662685e-198,"0"
"TULP4","TULP4",4.88436355935959e-201,1.13764172843495,0.669,0.405,1.22621947157723e-196,"0"
"SLC12A2","SLC12A2",2.02131954481754e-199,1.15507081690534,0.589,0.302,5.07452271726444e-195,"0"
"NEO1","NEO1",9.16635404778798e-198,1.04802477893881,0.676,0.386,2.30121318369717e-193,"0"
"ZFYVE16","ZFYVE16",9.994043921986e-198,1.18112331474882,0.641,0.378,2.50900472661459e-193,"0"
"MYO6","MYO6",2.49877913238553e-194,1.03563715152097,0.685,0.421,6.27318501185386e-190,"0"
"FNBP1","FNBP1",1.00165957134127e-191,1.03876377320119,0.645,0.36,2.51466635385227e-187,"0"
"SLC22A23","SLC22A23",3.11761814503346e-190,1.14320735006314,0.559,0.277,7.8267803531065e-186,"0"
"RDX","RDX",2.0019366071444e-187,1.11359724314009,0.518,0.234,5.02586185223601e-183,"0"
"LMCD1-AS1","LMCD1-AS1",3.22669729629115e-184,1.32090572253683,0.516,0.221,8.10062356233894e-180,"0"
"SLC22A15","SLC22A15",8.97502329557029e-182,1.14896194644997,0.45,0.186,2.25317959835292e-177,"0"
"C12orf76","C12orf76",5.04482203093272e-181,1.11653401779104,0.416,0.157,1.26650257086566e-176,"0"
"RNF13","RNF13",7.68134050282575e-181,1.07045299916559,0.615,0.353,1.9284005332344e-176,"0"
"KLHL4","KLHL4",1.41566270517176e-178,1.27387559646078,0.386,0.137,3.55402122133371e-174,"0"
"ACER3","ACER3",2.43811580760623e-177,1.04678219957334,0.535,0.256,6.12088973499545e-173,"0"
"STMN4","STMN4",9.73794488515672e-177,1.18683515007226,0.49,0.228,2.4447110634186e-172,"0"
"AC096564.1","AC096564.1",1.72925479794493e-176,1.06399776116259,0.33,0.099,4.34129417024075e-172,"0"
"SPATA6","SPATA6",2.75031131516893e-174,1.01268925578829,0.569,0.279,6.90465655673159e-170,"0"
"BTBD3","BTBD3",3.96521086270994e-174,1.14168627869087,0.535,0.273,9.95466187083329e-170,"0"
"TUBB4A","TUBB4A",3.9552259725054e-172,1.10887937703112,0.505,0.246,9.92959480397482e-168,"0"
"ZDHHC20","ZDHHC20",8.52333110364992e-169,1.33525816400239,0.535,0.29,2.13978227357131e-164,"0"
"SCARB2","SCARB2",1.54584395530473e-167,1.04979128680194,0.555,0.302,3.88084124979252e-163,"0"
"SLC25A13","SLC25A13",2.12415023884268e-166,1.05861176635342,0.436,0.173,5.33267917461455e-162,"0"
"CPEB2","CPEB2",1.32336279507649e-165,1.10435554182164,0.569,0.314,3.32230229703952e-161,"0"
"PPP2R3A","PPP2R3A",3.76121682306593e-165,1.05544395268771,0.398,0.15,9.44253483430702e-161,"0"
"DICER1","DICER1",8.3910135214889e-164,1.00690302332405,0.632,0.396,2.10656394456979e-159,"0"
"AGTPBP1","AGTPBP1",2.59068878094206e-163,1.12827461538738,0.629,0.4,6.50392418455505e-159,"0"
"CPQ","CPQ",9.6570280743342e-162,1.00359963958525,0.49,0.21,2.4243968980616e-157,"0"
"ANKIB1","ANKIB1",1.42162766131949e-160,1.04560506015555,0.656,0.441,3.56899624374259e-156,"0"
"NCOA7","NCOA7",6.78619117854339e-160,1.03100707685624,0.599,0.358,1.70367329537332e-155,"0"
"GREB1L","GREB1L",1.0089486716893e-158,1.14195449958453,0.357,0.123,2.53296564027599e-154,"0"
"SRCIN1","SRCIN1",1.40159143759662e-158,1.0431180672009,0.578,0.334,3.51869530408631e-154,"0"
"MAT2A","MAT2A",3.17883097502052e-156,1.00991563932237,0.519,0.26,7.98045516278902e-152,"0"
"YPEL2","YPEL2",3.63216522282642e-156,1.07015143905128,0.439,0.194,9.11855079190572e-152,"0"
"ENOX2","ENOX2",1.19237189163906e-152,1.01271537334664,0.357,0.123,2.99344963395986e-148,"0"
"ZNF652","ZNF652",1.99952560840862e-151,1.08197752973429,0.519,0.269,5.01980903990983e-147,"0"
"IGSF11","IGSF11",1.0018275523774e-149,1.03058251306866,0.549,0.306,2.51508807024345e-145,"0"
"ZNF704","ZNF704",1.78293053801913e-147,1.03336412859203,0.621,0.396,4.47604711569703e-143,"0"
"DUBR","DUBR",8.06085518528887e-146,1.11374047104116,0.507,0.275,2.02367769426677e-141,"0"
"LSS","LSS",1.2947098757739e-145,1.00924871137509,0.416,0.179,3.25036914313037e-141,"0"
"AMD1","AMD1",3.97384836166322e-134,1.03187132567909,0.495,0.27,9.97634631195551e-130,"0"
"KIAA1324L","KIAA1324L",5.57813093968332e-134,1.13233265829611,0.467,0.244,1.4003897724075e-129,"0"
"RETREG1","RETREG1",1.9251151795308e-132,1.02008587722662,0.448,0.226,4.83300165821207e-128,"0"
"BACH2","BACH2",6.27255983662514e-124,1.0003915124347,0.546,0.325,1.57472614698474e-119,"0"
"KCNMB4","KCNMB4",2.95743612278082e-113,1.10608924817056,0.448,0.249,7.42464338624124e-109,"0"
"AGPAT4","AGPAT4",1.8090560339039e-99,1.01241921030556,0.458,0.279,4.54163517311574e-95,"0"
"ADGRV1","ADGRV1",0,4.04057662684876,0.908,0.165,0,"1"
"SLC1A2","SLC1A2",0,3.88750760344466,0.893,0.277,0,"1"
