"","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"SLC25A37","SLC25A37",7.96074343296778e-40,1.2932612882366,0.293,0.15,1.99854463884656e-35,"5"
"PTPN2","PTPN2",1.94408099729516e-38,1.53897676178764,0.323,0.185,4.88061534370949e-34,"5"
"SH3BGRL","SH3BGRL",6.50392395730737e-38,1.47849469432307,0.39,0.258,1.63281010948202e-33,"5"
"STX7","STX7",6.55627256846364e-38,1.3187297877423,0.388,0.256,1.6459522283128e-33,"5"
"ARHGEF6","ARHGEF6",2.09806792392335e-36,1.17104343234083,0.252,0.119,5.26719952300957e-32,"5"
"CCND31","CCND3",2.17415955623664e-36,1.37841086257176,0.338,0.199,5.45822756593209e-32,"5"
"TRMT1","TRMT1",1.52162268143343e-35,1.18958572545886,0.255,0.123,3.82003374173862e-31,"5"
"TRPM2","TRPM2",1.61326554146567e-35,1.28573127385261,0.266,0.135,4.05010314184958e-31,"5"
"MLXIPL","MLXIPL",1.01486150760892e-34,1.38439868451319,0.27,0.141,2.54780981485219e-30,"5"
"FNDC3B1","FNDC3B",2.27571388141121e-34,1.23677344407184,0.386,0.252,5.71317969928285e-30,"5"
"NUMB1","NUMB",1.28779889057469e-33,1.32337294231727,0.408,0.292,3.23301911478776e-29,"5"
"WASF21","WASF2",1.85829507284136e-33,1.13294148451855,0.32,0.181,4.66524978036823e-29,"5"
"AFF11","AFF1",5.35311224295818e-31,1.20447330044887,0.416,0.295,1.34389882859465e-26,"5"
"ATF6","ATF6",9.47802983516908e-31,1.29580045817873,0.417,0.32,2.3794593901192e-26,"5"
"STAG1","STAG1",3.99119084382661e-30,1.08573318179418,0.526,0.479,1.00198846134267e-25,"5"
"GRB2","GRB2",6.22532006744215e-30,1.25814149969784,0.302,0.181,1.56286660293135e-25,"5"
"WASHC4","WASHC4",1.19315417284031e-29,1.16383482653782,0.347,0.226,2.9954135509156e-25,"5"
"NRIP1","NRIP1",1.81571625274224e-29,1.3290406355411,0.291,0.172,4.5583556525094e-25,"5"
"MITF1","MITF",2.64252012980903e-28,1.16593342737688,0.313,0.188,6.63404678588557e-24,"5"
"GALNT21","GALNT2",1.01324012494031e-27,1.29703214263778,0.341,0.23,2.54373933366266e-23,"5"
"PHC21","PHC2",6.04345833513615e-27,1.26936498330744,0.377,0.273,1.51721021503593e-22,"5"
"SIPA1L2","SIPA1L2",1.69728465573131e-26,1.2318463604822,0.323,0.213,4.26103312821346e-22,"5"
"PIAS1","PIAS1",3.44666182198315e-26,1.0537933830776,0.507,0.468,8.6528445040887e-22,"5"
"MKNK1","MKNK1",1.32360400102601e-25,1.2853986345895,0.267,0.159,3.32290784457579e-21,"5"
"SNX292","SNX29",1.56107411027178e-25,1.1592685219689,0.377,0.276,3.9190765538373e-21,"5"
"RNF149","RNF149",1.75076246613648e-25,1.34761497091012,0.342,0.242,4.39528917123564e-21,"5"
"KLHL5","KLHL5",2.97824078337679e-25,1.07833397640443,0.326,0.212,7.47687348666743e-21,"5"
"FP671120.11","FP671120.1",3.661470518634e-25,1.231721781573,0.553,0.535,9.19212173703065e-21,"5"
"NIPBL1","NIPBL",4.20829783005001e-25,1.05495589487599,0.524,0.508,1.05649317023405e-20,"5"
"DLEU21","DLEU2",6.32704888229069e-25,1.06686653922028,0.499,0.444,1.58840562189908e-20,"5"
"AP1B1","AP1B1",1.30563757191659e-24,1.1476559816392,0.267,0.159,3.27780312429661e-20,"5"
"PLCG2","PLCG2",1.39023861734334e-24,1.02559651721282,0.29,0.176,3.49019404884046e-20,"5"
"CAB39","CAB39",1.65113812051932e-24,1.26235781877115,0.347,0.249,4.14518225156375e-20,"5"
"IL6ST","IL6ST",1.71574359399892e-24,1.10123205860208,0.391,0.297,4.30737429273429e-20,"5"
"PDGFC","PDGFC",3.49059813978611e-24,1.25735556004144,0.295,0.187,8.76314662993302e-20,"5"
"AP3B11","AP3B1",5.4078798972858e-23,1.0056307561932,0.396,0.297,1.3576482482136e-18,"5"
"FAM13A1","FAM13A",2.00936568195227e-22,1.16485166016049,0.385,0.302,5.04451254454119e-18,"5"
"RPS6KA3","RPS6KA3",2.3336791945853e-22,1.26413462885787,0.383,0.307,5.8587016180064e-18,"5"
"IGSF212","IGSF21",3.32533744509486e-22,1.2050078201694,0.283,0.185,8.34825965591064e-18,"5"
"RPL13","RPL13",2.03444862449012e-21,1.13656712084237,0.401,0.311,5.10748327178243e-17,"5"
"OXR11","OXR1",6.29946390829143e-21,1.03407705402993,0.598,0.562,1.58148041417656e-16,"5"
"ATG71","ATG7",1.01206377690167e-20,1.19346025966548,0.434,0.389,2.54078611191164e-16,"5"
"PTBP3","PTBP3",1.02750298945359e-20,1.09211763369967,0.281,0.185,2.57954625502324e-16,"5"
"COMMD101","COMMD10",3.15097077332191e-20,1.1071756891963,0.395,0.32,7.91051212642466e-16,"5"
