"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DLX6-AS1",1.04997131183922e-71,-0.782779462344803,0.068,0.263,2.63595297837237e-67
"SCG2",1.17179159855702e-71,-0.559424009621066,0.081,0.283,2.94178280817741e-67
"GUCY1B1",1.26460234030868e-71,-0.520596174616589,0.326,0.607,3.17478417534494e-67
"LMBRD2",2.2952183116374e-71,-0.503627090043924,0.286,0.57,5.7621455713657e-67
"TBCB",2.39967961552362e-71,-0.497362184938813,0.142,0.374,6.02439567477206e-67
"ARPP21",2.41746411454798e-71,0.667460322386555,0.767,0.625,6.06904365957269e-67
"GSK3A",2.6305227809379e-71,-0.435402812534754,0.114,0.341,6.60392744154459e-67
"G3BP2",3.06866341818581e-71,-0.551936022939014,0.265,0.539,7.70387951135548e-67
"PNMA8A",4.04956197810497e-71,-0.422493608343291,0.087,0.295,1.01664253460325e-66
"AGL",5.95611966383881e-71,-0.409795557971675,0.132,0.363,1.49528384160673e-66
"CHN1",6.42805505480398e-71,-0.934684907215801,0.751,0.82,1.61376322150854e-66
"UQCRH",6.70038126292674e-71,-0.450796653117158,0.115,0.337,1.68213071605776e-66
"LSAMP",9.72464935365104e-71,0.517676451723782,0.965,0.938,2.44137322023409e-66
"SLC9A7",9.85206127644967e-71,-0.441409974847398,0.163,0.409,2.47335998345269e-66
"AC016831.7",2.16973652355165e-70,0.522860743491919,0.848,0.815,5.44712354237641e-66
"VDAC3",2.37448037943662e-70,-0.394201989807179,0.106,0.325,5.96113299257563e-66
"ATP5F1B",2.90876786459207e-70,-0.454299092863182,0.193,0.446,7.30246172405838e-66
"PPP2CB",5.23321880982948e-70,-0.466696802770056,0.214,0.471,1.31379958220769e-65
"MTURN",8.73284480841519e-70,-0.570968543209919,0.34,0.616,2.19238068915263e-65
"AC096711.2",9.63270983628792e-70,-0.440760067426771,0.34,0.615,2.41829180440008e-65
"OTUB1",1.33742217701972e-69,-0.513805774158752,0.123,0.35,3.357598375408e-65
"RHBDD2",2.46239759908533e-69,-0.505427841628906,0.325,0.603,6.18184917250372e-65
"SCAF1",2.63743357741197e-69,-0.433846078125093,0.081,0.281,6.62127699609275e-65
"OAT",3.08234826261607e-69,-0.467347454425549,0.129,0.354,7.73823531329765e-65
"MCTP1",3.99534774447758e-69,0.768078130864124,0.754,0.708,1.0030320512511e-64
"PODXL2",4.44806920612862e-69,-0.473054461516095,0.24,0.507,1.11668777419859e-64
"MTRNR2L12",4.60358047374047e-69,-0.691421464020356,0.492,0.763,1.15572887793255e-64
"PRPF19",9.93543859455589e-69,-0.415388961508584,0.152,0.388,2.49429185916326e-64
"ARL4C",1.39856194675004e-68,-0.548844510106661,0.12,0.335,3.51108976731596e-64
"TUBB2A",1.63908978318675e-68,-0.436365443023261,0.107,0.322,4.11493490069034e-64
"CDKN2D",1.65092710742869e-68,-0.42326846610042,0.068,0.259,4.14465250319971e-64
"RPL3",1.96286973275984e-68,-0.419989013547323,0.065,0.254,4.92778446409358e-64
"DDHD2",2.75577082893194e-68,-0.436319344979267,0.142,0.372,6.91836266603363e-64
"RETREG2",4.08352951023304e-68,-0.46213874507169,0.124,0.346,1.025170083544e-63
"RIT2",4.38889147035313e-68,1.05827456523513,0.413,0.237,1.10183120363215e-63
"DPYD",5.54295742531972e-68,0.76726598982248,0.671,0.508,1.39155946162652e-63
"NRIP3",8.20750333708766e-68,-0.63572002207125,0.07,0.257,2.06049371277586e-63
"BTBD8",9.54170633973551e-68,-0.513287277865603,0.375,0.646,2.3954453765906e-63
"ATP6AP2",1.13298536199854e-67,-0.442284194960458,0.105,0.315,2.84435975129735e-63
"FP700111.1",1.15764780602587e-67,-0.446224900021149,0.378,0.647,2.90627481702795e-63
"SLC6A17",1.17318823312785e-67,-0.463714252057336,0.239,0.498,2.94528905926746e-63
"CFL1",1.17659491725787e-67,-0.47509114595561,0.244,0.514,2.95384153977588e-63
"C1orf115",1.42802661232279e-67,-0.537155915980062,0.142,0.363,3.58506081023637e-63
"CPLX2",1.84170344918045e-67,-0.620104480844095,0.332,0.607,4.62359650916752e-63
"KCNC1",1.89721541569836e-67,-0.458566646139071,0.222,0.482,4.76295930111074e-63
"LPCAT4",3.93275168178487e-67,-0.399941868900257,0.201,0.45,9.87317309712092e-63
"SMIM13",5.46250268848901e-67,-0.447524227030696,0.137,0.363,1.37136129994517e-62
