"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SYNGR3",5.88586546468526e-51,-0.321131497004085,0.136,0.33,1.47764652490924e-46
"ABCA5",7.03849139920115e-51,-0.367080304677045,0.424,0.685,1.76701326576945e-46
"CDS1",1.17683462848991e-50,-0.342982153369469,0.098,0.271,2.95444333482392e-46
"PRKAR1A",1.23925408318733e-50,-0.376687836065718,0.28,0.518,3.1111473758418e-46
"PKD1",1.35751533259089e-50,0.712166024966761,0.642,0.597,3.40804224246944e-46
"SLC38A1",1.40207347264746e-50,-0.381709722754648,0.318,0.563,3.51990545308146e-46
"SCOC",1.4367136712982e-50,-0.372876400024669,0.166,0.368,3.60686967179414e-46
"ARL2BP",1.51051725506085e-50,-0.370558974666309,0.104,0.278,3.79215356883027e-46
"PLCB1",1.6016128636078e-50,-0.314902066139092,0.893,0.93,4.02084909408738e-46
"DNER",1.70870464936651e-50,-0.697298312544774,0.233,0.435,4.28970302223461e-46
"SNU13",1.81784779919001e-50,-0.316741361956035,0.091,0.261,4.56370689986652e-46
"PHYHIPL",1.81904580088079e-50,-0.40022601230725,0.289,0.519,4.56671448311121e-46
"MAP1LC3B",2.42998013109676e-50,-0.333815710293734,0.141,0.331,6.10046511911841e-46
"CNOT7",2.56392242891424e-50,-0.309786253910475,0.141,0.333,6.43672725778921e-46
"GABRD",2.78220804541923e-50,-0.374492001422513,0.151,0.349,6.98473329802497e-46
"SIRPA",3.21003914711933e-50,-0.461540849004653,0.374,0.607,8.05880327884308e-46
"DKK3",3.39901083502894e-50,-0.500183614426121,0.424,0.674,8.53321670134015e-46
"MPPED1",3.47623595200853e-50,-0.410243630231642,0.198,0.41,8.72709035751742e-46
"LINC02398",3.63051675788374e-50,-0.313072268730225,0.127,0.314,9.11441232066713e-46
"MYEF2",6.16218187176397e-50,-0.334425100822007,0.325,0.572,1.54701575890634e-45
"AFF3",6.34936157796104e-50,0.491894325567955,0.803,0.788,1.59400722414712e-45
"RCN2",6.67575078143593e-50,-0.376300289117674,0.174,0.378,1.67594723367949e-45
"ATXN2L",6.95851438173966e-50,-0.274931882262584,0.127,0.315,1.74693503553574e-45
"CAND1",7.82375345924093e-50,-0.293857106019077,0.198,0.415,1.96415330594244e-45
"UQCRC1",8.12230732484951e-50,-0.328275697121587,0.105,0.281,2.03910525390347e-45
"CBX7",8.33397656342781e-50,-0.339112808964364,0.111,0.29,2.09224481624855e-45
"RPL8",8.83364091674634e-50,-0.319985590274001,0.111,0.29,2.21768555214917e-45
"MICU3",9.50154597288249e-50,-0.390483030238983,0.424,0.67,2.38536311649215e-45
"MAPK9",9.55776185216819e-50,-0.351857442803254,0.205,0.419,2.39947611298682e-45
"ZNF25",9.70787577188176e-50,-0.362987940942958,0.176,0.382,2.43716221253092e-45
"PCBP2",1.01653182406197e-49,-0.298779783229883,0.235,0.46,2.55200314430757e-45
"SCAMP1",1.04210798630844e-49,-0.337975324448009,0.254,0.484,2.61621209962733e-45
"ITGB3BP",1.18886412061284e-49,-0.261406376620739,0.12,0.304,2.98464337479853e-45
"FBLL1",1.55066143968645e-49,-0.353979180526902,0.1,0.27,3.89293554433283e-45
"CCDC91",2.30160094413011e-49,-0.404776734817502,0.433,0.671,5.77816917023863e-45
"SCN2B",2.60691550319418e-49,-0.360983884556249,0.108,0.283,6.54466137076898e-45
"CD200",4.21643182689323e-49,-0.259474457893675,0.17,0.375,1.05853521014155e-44
"ZMAT4",4.22934021583856e-49,-0.428010081847639,0.429,0.652,1.06177586118627e-44
"ATMIN",4.81931331588261e-49,-0.341502040836478,0.087,0.251,1.20988860795233e-44
"RASGEF1B",5.48386332396827e-49,0.705089692939846,0.579,0.506,1.37672388748224e-44
"CEP170B",5.80110782441465e-49,-0.299389859235497,0.119,0.299,1.4563681193193e-44
"GOLGA8B",6.3526891101831e-49,-0.257337802189378,0.223,0.445,1.59484260111147e-44
"OCIAD1",6.64854402486687e-49,-0.334801997431288,0.333,0.585,1.66911697744283e-44
"ATP6V0D1",6.86509164197929e-49,-0.322232016585902,0.121,0.307,1.7234812567189e-44
"BAIAP3",7.84551095856224e-49,-0.392903181724452,0.135,0.317,1.96961552614705e-44
"BEND6",9.72222648654347e-49,-0.317953509096281,0.183,0.389,2.44076495944674e-44
"THRA",1.15761206913421e-48,-0.338062845304517,0.222,0.44,2.90618509956144e-44
"UNC5C",1.16277259632848e-48,0.863408748579356,0.711,0.682,2.91914060308265e-44
"VPS28",1.23258567845056e-48,-0.314194096131181,0.159,0.363,3.09440634575014e-44
"CAMK2N1",1.34752385798564e-48,-0.484596562799321,0.504,0.736,3.38295864547294e-44
"ACTR2",1.41197654656359e-48,-0.399144097430248,0.292,0.523,3.5447671201479e-44
"RNF34",1.56675275905377e-48,-0.321866884799418,0.109,0.285,3.93333280160448e-44
"ADAMTS9-AS2",1.78674550886395e-48,-0.670708368273095,0.186,0.373,4.48562460000295e-44
"SSU72",1.82717111623304e-48,-0.289222008837995,0.122,0.305,4.58711308730305e-44
"ANXA6",1.86401071960421e-48,-0.374677217289427,0.17,0.371,4.67959891156638e-44
"SEPT7",1.86482111368211e-48,-0.420441280721951,0.503,0.743,4.68163340589895e-44
"CAMLG",2.51557260717115e-48,-0.338340033999979,0.135,0.322,6.31534503030317e-44
"DDX6",2.60532545874998e-48,-0.349878378190453,0.262,0.496,6.54066956419183e-44
"STX1B",3.36925691539171e-48,-0.349055518823379,0.221,0.445,8.45851948609088e-44
"PDE8B",3.78282269082346e-48,-0.327683178103376,0.146,0.333,9.49677636531229e-44
"CSPG5",3.93274918678713e-48,-0.303672452056101,0.117,0.294,9.87316683342909e-44
"RPL15",4.57443235915462e-48,-0.284777968626712,0.179,0.382,1.14841124376577e-43
"CORO6",4.66069489490359e-48,-0.264251405345635,0.278,0.515,1.17006745336555e-43
"GRK3",4.77188922292805e-48,-0.437012373267209,0.512,0.729,1.19798278941609e-43
"GNB2",7.48705624518683e-48,-0.339515988324534,0.176,0.382,1.87962547035415e-43
"SPATA7",1.006862737798e-47,-0.255124712775802,0.186,0.393,2.52772890324188e-43
"RAC1",1.0211586999578e-47,-0.349659470456178,0.208,0.426,2.56361891624406e-43
"CDC37",1.25050495223617e-47,-0.256625756251071,0.134,0.32,3.13939268258889e-43
"LINC01184",1.34194878060335e-47,-0.310570204922182,0.301,0.54,3.3689624137047e-43
"TRIM33",1.56160696783403e-47,-0.30932380751382,0.324,0.573,3.92041429274733e-43
"PTMS",1.60482652579353e-47,-0.384188546917844,0.253,0.477,4.02891699300467e-43
"VAMP4",1.6267037121049e-47,-0.322850950591031,0.096,0.261,4.08383966923935e-43
"NNT",1.63038866066373e-47,-0.345730676859237,0.298,0.537,4.09309073259629e-43
"ARL6IP5",1.82846519377516e-47,-0.384969195840479,0.19,0.393,4.59036186897253e-43
"ACSL3",2.30369707696811e-47,-0.369249408036008,0.369,0.604,5.78343151172844e-43
"FLG-AS1",2.68061287430055e-47,-0.31997548846647,0.129,0.31,6.72967862093154e-43
"YWHAE",3.50929659432003e-47,-0.378589430003093,0.298,0.538,8.81008910004045e-43
"CAMK1G",4.53377442450459e-47,-0.377744694013743,0.109,0.278,1.13820406927188e-42
"FAM169A",5.88276115017931e-47,-0.351000804963096,0.353,0.599,1.47686718675252e-42
"TTC39B",5.89772761014841e-47,-0.273219855846883,0.193,0.405,1.48062451652776e-42
"STXBP6",6.0128314699707e-47,-0.444167617721019,0.227,0.436,1.50952134053614e-42
"PURG",6.03529136529006e-47,-0.272292626874589,0.239,0.467,1.51515989725607e-42
"HS3ST4",6.061340311773e-47,1.28448044001183,0.385,0.244,1.52169948527061e-42
"PLEKHB2",6.33172754955322e-47,-0.387901920927907,0.176,0.373,1.58958020131534e-42
"CLTC",8.16407885857907e-47,-0.374429164971467,0.351,0.595,2.04959199744628e-42
"CLCN3",8.1657581777886e-47,-0.315513526995641,0.296,0.53,2.05001359053383e-42
"AL078639.1",1.18644615386701e-46,-0.633393926578084,0.408,0.63,2.97857306928312e-42
"DLGAP2",1.37740041308482e-46,0.463600017947398,0.838,0.78,3.45796373704945e-42
"HNRNPK",1.39064635843314e-46,-0.311755776614292,0.284,0.519,3.49121768284641e-42
"WBP2",1.43655694125436e-46,-0.354930542330331,0.18,0.385,3.60647620101907e-42
"MAPK1",1.64580356519859e-46,-0.426854248401909,0.463,0.703,4.13178985043105e-42
"UBL3",1.76387469729193e-46,-0.358626501543819,0.314,0.555,4.4282074275514e-42
"TM2D3",2.01806441170916e-46,-0.294814253410341,0.121,0.296,5.06635070559584e-42
"UBE2E2",2.06152388946916e-46,0.497796953662966,0.782,0.756,5.17545572451232e-42
"PER3",2.27221112387287e-46,-0.284197918346205,0.179,0.38,5.70438602648284e-42
"CNBP",2.5841120225017e-46,-0.276938789421363,0.118,0.292,6.48741323249053e-42
"FAM162A",2.69870298438734e-46,-0.257976212649204,0.117,0.291,6.77509384230442e-42
"SPCS2",3.28615783849743e-46,-0.258922264789628,0.135,0.317,8.24989925354781e-42
"FASN",3.5279284518949e-46,-0.328132783028732,0.131,0.313,8.85686437848214e-42
"PGM2L1",4.07851661130143e-46,-0.357539199498152,0.269,0.496,1.02391159526722e-41
"CBX6",4.38968316631174e-46,-0.325532865545533,0.214,0.428,1.10202995890256e-41
"RASD2",4.57073953060292e-46,-0.311913231403201,0.102,0.268,1.14748415915786e-41
"EFR3B",4.73203414856585e-46,-0.346500105563667,0.149,0.335,1.18797717299746e-41
"AC025159.1",6.01911462271426e-46,-0.405338787286224,0.308,0.528,1.51109872603242e-41
"ATAD1",7.84931781468514e-46,-0.315064140614573,0.202,0.408,1.9705712373767e-41
"UBE2M",8.85197670257271e-46,-0.354676341486263,0.159,0.349,2.22228875118088e-41
"FBXL16",9.06711710659409e-46,-0.285347982978259,0.098,0.26,2.27629974961045e-41
"LINC02306",9.80615006276161e-46,-0.954156118915573,0.164,0.325,2.4618339732563e-41
"NRGN",1.0605933126567e-45,-0.919783734939458,0.566,0.684,2.66261951142463e-41
"VWC2",1.10760871299172e-45,-0.465447906086415,0.145,0.322,2.78065167396571e-41
"NEK10",1.17554809905535e-45,-0.302129303777815,0.292,0.52,2.95121350267847e-41
"KCNC3",1.35416128525851e-45,-0.322647126287829,0.132,0.31,3.3996219066415e-41
"PTPRN",1.54257061505305e-45,-0.385864223922722,0.383,0.625,3.87262352909067e-41
"AATK",1.77097246642636e-45,-0.339748568102113,0.21,0.42,4.44602637696337e-41
"XIAP",1.8856157736976e-45,-0.280298479080714,0.15,0.34,4.73383839986783e-41
"GPD1L",2.52680633813043e-45,-0.250344124587506,0.124,0.302,6.34354731187643e-41
"EPHA6",2.71746058622455e-45,-0.444723247535467,0.495,0.723,6.82218480171673e-41
"SUPT16H",3.10458988676673e-45,-0.33575165439864,0.158,0.345,7.79407291072788e-41
"PPARGC1A",3.13893272129172e-45,-0.397491878205792,0.211,0.411,7.88029059680286e-41
"FGF14",3.17090980856951e-45,0.299588405280173,0.956,0.932,7.96056907441375e-41
"SMG7",4.224517840093e-45,-0.265989767217055,0.249,0.468,1.06056520375535e-40
"ATP13A3",4.54239622575829e-45,-0.263931417449102,0.197,0.397,1.14036857247662e-40
"TMEFF2",5.00778542748191e-45,0.705379454859912,0.683,0.65,1.25720453156933e-40
"PRPF8",5.62856554662405e-45,-0.296673589831059,0.111,0.277,1.41305138047997e-40
"CIRBP",6.81254111625442e-45,-0.270151499275799,0.282,0.514,1.71028844723567e-40
"ENAH",7.26032952870152e-45,-0.310571182293245,0.287,0.516,1.82270572818052e-40
"NPTXR",7.91328862960277e-45,-0.429893161381259,0.409,0.65,1.98663111046178e-40
"ORC4",9.79795421879114e-45,-0.260866472671723,0.25,0.474,2.45977640662752e-40
"MAP1LC3A",1.28640087042909e-44,-0.290182045968155,0.176,0.373,3.22950938521223e-40
"PTPRM",1.43201734913425e-44,-0.732432991474251,0.259,0.44,3.59507955500154e-40
"RTN3",1.50247592897289e-44,-0.454407075737765,0.725,0.875,3.77196581968643e-40
"NDUFS1",1.56705921530362e-44,-0.300893016855068,0.258,0.477,3.93410216001974e-40
"MAZ",1.56793911207712e-44,-0.298367533171216,0.171,0.366,3.93631114086961e-40
"HELZ",1.95341963553188e-44,-0.349031223419298,0.377,0.618,4.90405999500279e-40
"ACTR1A",2.63490937562733e-44,-0.273694716297731,0.169,0.362,6.6149399875124e-40
"SYT13",2.69628840876571e-44,-0.307315567525309,0.19,0.389,6.76903205020633e-40
"GNB1",3.05781401045107e-44,-0.356555876256879,0.376,0.61,7.67664207323742e-40
"NFIA",4.16652437616544e-44,0.919114519268451,0.545,0.472,1.04600594463633e-39
"KCNH7",4.27780806823647e-44,0.649811985367693,0.704,0.635,1.07394371553077e-39
"NBL1",5.17526221757795e-44,-0.31812013815088,0.123,0.295,1.29924957972294e-39
"KIF5B",7.8614617330099e-44,-0.323160155870338,0.171,0.361,1.97361996807214e-39
"AARS",9.76154332739215e-44,-0.296355466916664,0.156,0.341,2.4506354523418e-39
"CCNG2",9.83647338315616e-44,-0.30442469128929,0.116,0.281,2.46944664284135e-39
"TTYH3",1.07920454294372e-43,-0.259173400259038,0.126,0.298,2.70934300506022e-39
"PSMD13",1.11369700304648e-43,-0.253262415042897,0.094,0.25,2.79593632614818e-39
"COX7A2L",1.22340500393099e-43,-0.252425921496124,0.211,0.42,3.07135826236875e-39
"EPM2AIP1",1.32623043764949e-43,-0.340379997433442,0.27,0.49,3.32950151371903e-39
"UNC80",1.41212577947072e-43,-0.354379974278207,0.571,0.765,3.54514176936124e-39
"MICU2",1.5381145704228e-43,-0.268345554798503,0.302,0.537,3.86143662904643e-39
"VOPP1",2.00341821978717e-43,-0.28237187563183,0.172,0.363,5.02958144077569e-39
"FBXO22",2.02485889870742e-43,-0.260408697814431,0.148,0.33,5.08340826520497e-39
"CLSTN3",2.22703515514828e-43,-0.281735626117681,0.238,0.454,5.59097175699975e-39
"VMA21",3.08677323299966e-43,-0.340312357020798,0.139,0.316,7.74934420144565e-39
"UBE2K",3.77566549575523e-43,-0.349597617410981,0.404,0.645,9.47880822709351e-39
"SESN3",3.83183118854868e-43,-0.347178093224362,0.42,0.646,9.61981219885147e-39
"CLTB",4.47907639889317e-43,-0.355098540403856,0.172,0.362,1.12447212994213e-38
"RPS15",5.54987775722743e-43,-0.32035426528156,0.149,0.329,1.39329681095195e-38
"EPN1",5.64136530744306e-43,-0.301348141590599,0.096,0.251,1.41626476043358e-38
"PRRC2B",6.07378317249565e-43,-0.3508021290869,0.339,0.574,1.52482326545503e-38
"CA11",6.84843225470244e-43,-0.287090919202943,0.19,0.389,1.71929891754305e-38
"MAF",8.33793742524443e-43,-0.641975828507077,0.11,0.262,2.09323919060761e-38
"SLC5A4-AS1",9.54313825789799e-43,0.671136412350945,0.375,0.249,2.39580485964529e-38
"AKAP11",9.94283191707814e-43,-0.354306421498811,0.434,0.68,2.49614795278247e-38
"CCDC186",1.01636397862653e-42,-0.254255109641724,0.191,0.39,2.55158176834191e-38
"AC090568.2",1.10393722033031e-42,0.939458846332565,0.504,0.411,2.77143439163925e-38
"AP3M2",1.15781985193849e-42,-0.251599580463999,0.101,0.259,2.90670673829157e-38
"PTK2B",1.23642407546155e-42,-0.653033463736639,0.449,0.599,3.10404264144621e-38
"GRK2",1.57281876873549e-42,-0.293445262042686,0.227,0.437,3.94856151891046e-38
"NDUFA4",1.65543567950817e-42,-0.280135048329208,0.107,0.269,4.15597127340526e-38
"NAP1L1",1.6780316489995e-42,-0.347163546561502,0.464,0.697,4.21269845481325e-38
"BAG4",1.81085723124188e-42,-0.320479051425936,0.189,0.38,4.54615707903274e-38
"YTHDC2",2.78093021527322e-42,-0.278110629893684,0.357,0.59,6.98152530544342e-38
"ATP6V0E2",2.97184816943044e-42,-0.366937355715087,0.173,0.357,7.46082482935512e-38
"SYP",3.12429109068989e-42,-0.38399088848019,0.294,0.513,7.84353278317697e-38
"MGST3",4.1929386797141e-42,-0.278422308106782,0.206,0.407,1.05263725554223e-37
"NOVA2",4.43810704228442e-42,-0.29633248238173,0.214,0.417,1.1141867729655e-37
"RPL19",5.67294611072147e-42,-0.277184942919982,0.1,0.255,1.42419312109663e-37
"C2CD5",5.80073288748641e-42,-0.310164919944699,0.515,0.728,1.45627399140346e-37
"SDHC",6.58607365559606e-42,-0.267923543312273,0.168,0.352,1.65343379123739e-37
"SUPT5H",7.82415021458194e-42,-0.25848394034591,0.15,0.329,1.96425291137079e-37
"ENSA",9.11346798748822e-42,-0.319693387807173,0.349,0.581,2.28793613825892e-37
"CLCN4",1.06405723830179e-41,-0.301563169124715,0.175,0.362,2.67131569675665e-37
"RAB2A",1.21344313235667e-41,-0.313327423932559,0.351,0.579,3.04634898378143e-37
"TSPAN3",1.24108743183332e-41,-0.282673608463641,0.222,0.428,3.11574999761756e-37
"PLK2",1.4809650533144e-41,-0.271899384922603,0.156,0.333,3.71796276634581e-37
"ZBTB11",1.58463105025877e-41,-0.267955327258367,0.105,0.261,3.97821625167464e-37
"MTPN",1.65842705225935e-41,-0.308972199575777,0.229,0.436,4.1634811146971e-37
"UBA1",1.8415220708939e-41,-0.25921491673088,0.181,0.372,4.62314115897914e-37
"UNC13C",1.98998939738008e-41,-0.504811918562483,0.342,0.537,4.9958683821227e-37
"BTBD2",2.09143796296023e-41,-0.298838353666434,0.171,0.359,5.25055500601166e-37
"SCP2",2.14662817928874e-41,-0.265104199800548,0.179,0.369,5.38911004410437e-37
"MYO1B",2.67674163042143e-41,-0.276613668743851,0.102,0.257,6.71995986317301e-37
"UBE2N",3.34413037617415e-41,-0.292296612334897,0.13,0.299,8.39543930938521e-37
"TTC33",4.0380217384533e-41,-0.2742085111028,0.157,0.338,1.0137453574387e-36
"CAMTA2",5.43738505349505e-41,-0.255062405599327,0.169,0.357,1.36505551767993e-36
"NAT8L",6.35661609308987e-41,-0.305794114990918,0.238,0.448,1.59582847017021e-36
"LARGE1",6.46461781569198e-41,0.568249539000859,0.707,0.694,1.62294230262947e-36
"SCG3",6.80077583309508e-41,-0.292227746056351,0.125,0.289,1.70733477289852e-36
"XRCC5",7.62111908436663e-41,-0.267280274150277,0.296,0.524,1.91328194613024e-36
"ENC1",7.67443645165241e-41,-0.738579276623608,0.462,0.604,1.92666727118734e-36
"NEFL",7.82652401340098e-41,-0.479346803839672,0.175,0.354,1.96484885356432e-36
"TBC1D30",7.8966239705161e-41,-0.26657804380657,0.099,0.251,1.98244744779807e-36
"LINC02389",8.75613022424272e-41,-0.253797067548389,0.197,0.388,2.19822649279613e-36
"GOT2",1.53614638633687e-40,-0.269638561135644,0.114,0.275,3.85649550289872e-36
"ADAMTSL1",1.54931137360206e-40,-0.301659723348601,0.105,0.257,3.88954620342796e-36
"PHF10",1.80942306338606e-40,-0.26465521218736,0.122,0.284,4.54255660063071e-36
"GABRG2",2.65716323761677e-40,-0.383917648389738,0.523,0.734,6.67080830803691e-36
"COPS2",2.76893855639627e-40,-0.262092518336677,0.166,0.35,6.95142024583283e-36
"MAP7D2",3.05937417470709e-40,-0.3619316044693,0.22,0.412,7.68055886560216e-36
"TTBK2",3.43859397778021e-40,-0.385943687225379,0.464,0.695,8.63259018121722e-36
"GRIK1",3.5937967993493e-40,-1.00913053330056,0.199,0.366,9.02222686476643e-36
"GPRASP1",4.1628565039452e-40,-0.260574314545639,0.163,0.346,1.04508512531544e-35
"POLR2B",4.36986623850917e-40,-0.291491894228419,0.125,0.289,1.09705491917773e-35
"SYNJ1",4.39439518960347e-40,-0.337821442034544,0.287,0.509,1.10321291234995e-35
"HSPA9",4.80322477710439e-40,-0.28270632648374,0.19,0.38,1.20584958029206e-35
"SNX10",5.13556747741845e-40,-0.409044327876449,0.286,0.499,1.2892842152059e-35
"ODF2L",5.64313480765854e-40,-0.276824684713416,0.329,0.553,1.41670899346268e-35
"KLF9",5.65292415031655e-40,-0.295736025457044,0.144,0.316,1.41916660793697e-35
"AMD1",6.34457595876938e-40,-0.288592498327426,0.226,0.427,1.59280579444905e-35
"EFR3A",7.07187241124299e-40,-0.337706529807634,0.381,0.616,1.77539356884255e-35
"SSFA2",8.16030432718352e-40,-0.250255530916503,0.2,0.393,2.04864440133942e-35
"AVL9",8.17515361074797e-40,-0.275363388024909,0.309,0.533,2.05237231397828e-35
"BRINP3",8.1825421790476e-40,1.00258615151221,0.437,0.324,2.0542272140499e-35
"CNST",8.63662630080554e-40,-0.327063019604466,0.271,0.482,2.16822503281723e-35
"ACO2",9.8501877053465e-40,-0.26616287074311,0.166,0.346,2.47288962342724e-35
"PRKCA",1.09286907671996e-39,-0.397704383840686,0.492,0.69,2.74364781710545e-35
"TIAM1",1.14835049542632e-39,-0.432012905566368,0.367,0.563,2.88293391876778e-35
"TRMT9B",1.18544940084051e-39,-0.310269577275861,0.133,0.298,2.97607072081011e-35
"VAPB",1.28458869399286e-39,-0.257267024987939,0.131,0.296,3.22495991626907e-35
"LANCL1",1.61060664275158e-39,-0.344893585058184,0.29,0.498,4.04342797662784e-35
"RBMS3",2.02828263754241e-39,-0.470637973443556,0.115,0.266,5.09200356155023e-35
"PTPN11",2.32355227221374e-39,-0.270980999419923,0.193,0.383,5.83327797939258e-35
"CAMK2B",2.49881950869785e-39,-0.358727594600669,0.626,0.82,6.27328637658595e-35
"KLHL5",3.02590177596828e-39,-0.336743113455156,0.13,0.291,7.59652640856837e-35
"SEPT3",3.06016231468564e-39,-0.313101493500334,0.189,0.378,7.68253749101831e-35
"SEL1L",3.11676802648626e-39,-0.2537746119863,0.169,0.348,7.82464613049375e-35
"EPB41L1",3.38017415158081e-39,-0.343022162855873,0.308,0.536,8.48592720754361e-35
"KCTD2",4.91070429349639e-39,-0.28049582575931,0.127,0.289,1.23283231288227e-34
"CACNG8",6.12579264426202e-39,-0.320249695470139,0.293,0.512,1.53788024334198e-34
"ITGB8",9.2099364320435e-39,0.660488687904256,0.297,0.169,2.31215454126452e-34
"FAM19A5",1.18696455334616e-38,-0.320994077562345,0.281,0.488,2.97987451117553e-34
"SLC25A46",1.41892156954617e-38,-0.285646485200071,0.253,0.458,3.56220260034567e-34
"EIF4G2",1.44024304587374e-38,-0.283230422045473,0.164,0.34,3.61573016666602e-34
"KCNC4",1.47623717400599e-38,-0.279728933319198,0.122,0.28,3.70609342534204e-34
"AHI1",1.71956549298289e-38,-0.33355357527175,0.718,0.835,4.31696917013353e-34
"MEAF6",1.95060978917027e-38,-0.26055072910535,0.133,0.297,4.89700587571197e-34
"FAM131A",2.90252434128836e-38,-0.255178330343851,0.162,0.332,7.28678735880443e-34
"UBLCP1",2.99593250248692e-38,-0.250082736954044,0.106,0.255,7.52128854749341e-34
"MARF1",3.25004439138501e-38,-0.26645804454738,0.141,0.308,8.15923644457208e-34
"GPX4",3.4431594090365e-38,-0.277383619604013,0.175,0.357,8.64405169638612e-34
"DDHD1",3.81642398104136e-38,-0.260903166079988,0.304,0.523,9.58113240440434e-34
"NOC2L",3.95938752261038e-38,-0.313384458396601,0.118,0.272,9.94004237551335e-34
"CLOCK",4.17623850034411e-38,-0.258078458946467,0.319,0.541,1.04844467551139e-33
"GMFB",4.48580624959618e-38,-0.293498951481808,0.136,0.299,1.12616165896112e-33
"GABBR2",5.93673609566063e-38,-0.355512640235812,0.635,0.814,1.4904175968156e-33
"HMGCR",6.85088797982061e-38,-0.250869444801781,0.177,0.357,1.71991542733396e-33
"NHS",9.20041987275303e-38,-0.269372457730962,0.221,0.408,2.30976540905465e-33
"CCDC92",9.25019476793742e-38,-0.344917965974987,0.442,0.655,2.32226139649069e-33
"PRKAA2",9.44828839785589e-38,-0.280250094987309,0.35,0.574,2.37199280228172e-33
"KCNB1",1.05353299309028e-37,-0.351143217872584,0.417,0.638,2.64489457915315e-33
"HNRNPU",1.12685566652132e-37,-0.311335253537345,0.452,0.681,2.82897115080177e-33
"ANKRD42",1.14837235818016e-37,-0.255952727580152,0.123,0.28,2.88298880521129e-33
"PCDH19",1.32362053822697e-37,-0.271819065935983,0.169,0.346,3.32294936121881e-33
"EDF1",1.43860985207417e-37,-0.287233950103439,0.131,0.29,3.6116300336322e-33
"GTF2A1",1.60713414740111e-37,-0.251585604186617,0.171,0.348,4.03471027705049e-33
"USP33",1.65886089989026e-37,-0.280462025868946,0.399,0.625,4.1645702891745e-33
"NIPA1",1.67186889463358e-37,-0.328470024784715,0.167,0.337,4.19722685997759e-33
"SDCBP",1.68925214778259e-37,-0.318217014638634,0.12,0.274,4.2408675170082e-33
"HSPA4L",1.76392420408395e-37,-0.272155506155777,0.222,0.416,4.42833171435276e-33
"PPIP5K2",1.82617324802502e-37,-0.280218452393193,0.334,0.552,4.5846079391668e-33
"TMEM130",1.85907133966786e-37,-0.303950281201616,0.245,0.443,4.66719859823618e-33
"CHSY3",1.91840309518018e-37,0.492666644934004,0.741,0.708,4.81615097044983e-33
"GRM1",2.12471855882792e-37,0.638579693062308,0.557,0.457,5.33410594193748e-33
"SCARB2",2.49933382862847e-37,-0.300295910346802,0.247,0.443,6.27457757677178e-33
"ZNF536",2.979391286494e-37,-0.476816085847849,0.181,0.348,7.47976182474318e-33
"TRMT11",3.15546228102306e-37,-0.258295301101361,0.198,0.378,7.92178805650839e-33
"API5",4.40213317316765e-37,-0.282259592849341,0.214,0.403,1.10515553312374e-32
"HINT1",5.15754278706576e-37,-0.288209015429624,0.109,0.256,1.29480111669286e-32
"CAMKK1",6.35169699192772e-37,-0.302960158724803,0.222,0.408,1.59459352982345e-32
"GALNT13",6.99669035498198e-37,-0.43057712256184,0.437,0.625,1.75651911361823e-32
"FAM168B",7.35860027098546e-37,-0.312292745258107,0.241,0.438,1.8473765980309e-32
"ZNF483",9.09756582964423e-37,-0.31943423555166,0.446,0.68,2.28394390153218e-32
"ANO4",9.4372646292949e-37,-0.464036569373054,0.342,0.531,2.36922528518449e-32
"PPM1A",9.8444862535676e-37,-0.254432097929189,0.235,0.434,2.47145827395815e-32
"TMOD2",1.32874011550932e-36,-0.275833190924615,0.369,0.591,3.33580205998614e-32
"DYNC1H1",1.43428100642608e-36,-0.321349147999163,0.377,0.596,3.60076246663268e-32
"AP3S1",1.88936153000308e-36,-0.258337229285838,0.254,0.453,4.74324212107274e-32
"PDE4A",2.23596961737374e-36,-0.331673671499467,0.206,0.386,5.61340172441676e-32
"EI24",2.37547214639067e-36,-0.252693009601045,0.127,0.283,5.96362282351377e-32
"REV3L",2.56952438696461e-36,-0.37227874703854,0.471,0.682,6.45079097347466e-32
"SCYL2",3.00658306921722e-36,-0.26766597880538,0.171,0.348,7.54802679526983e-32
"ZMYND11",3.00775047092467e-36,-0.298099181312387,0.395,0.625,7.55095755725638e-32
"HNRNPDL",3.72295907198267e-36,-0.256172016321502,0.431,0.666,9.34648875021249e-32
"SPPL3",4.95946552645255e-36,-0.284289085783496,0.418,0.647,1.24507382041591e-31
"C5orf24",7.84618088914726e-36,-0.255431814650146,0.146,0.306,1.96978371222042e-31
"ELAVL2",1.00397984883731e-35,-0.499876776712623,0.353,0.532,2.52049141050608e-31
"NLGN2",1.07477517509569e-35,-0.254627099481393,0.108,0.251,2.69822307707773e-31
"NDST3",1.15206345806255e-35,-0.34410149575029,0.359,0.555,2.89225531146604e-31
"SPTAN1",1.31994413028989e-35,-0.298601057353786,0.5,0.706,3.31371973909278e-31
"AL445433.2",1.56750070602531e-35,-0.275694453303594,0.133,0.285,3.93521052247654e-31
"KIAA1211",1.68531204174421e-35,-0.337797115373282,0.151,0.31,4.23097588079883e-31
"RSPO2",2.7702373826982e-35,-0.288227386357642,0.189,0.363,6.95468094926382e-31
"RAB6A",2.82402979014223e-35,-0.268232443211268,0.343,0.559,7.08972678815206e-31
"PDE7B",2.8940224757393e-35,-0.265584126399219,0.192,0.373,7.26544342534352e-31
